author,content,author_descrition,reactions,comments,comments_number,tags;;;;;;;;;;;;;;;;
"Tracy HackshawTracy Hackshaw,""I am extremely pleased and privileged to be speaking, as the#dotPOSTBusiness Unit Manager, at theUniversal Postal Union#AfricaPostal Leaders Forum being held from July 3-5, 2023 in#Abidjan, Côte d’Ivoire with the theme “The African#Posts' journey to#DigitalTransformationand#Innovation”.The forum will bring together postal executives,#regulators,#policymakers&#technologyindustry experts from around Africa to discuss the most pressing challenges and opportunities for the#postalindustry. The forum will also provide a platform for participants to exchange experiences and share their insights and#successstories. Key topics include, inter alia:The role of the#postalsectorin the#digitaleconomy|#eCommerce: the driving force behind digital transformation in the Posts |CONNECT.POSTRoundtables on: infrastructure for#digitalservices& Digital Transformation Enablers |On Day 2 from 1430-1630 local time, the Forum will focus on the topic#Cybersecurity: Securing#postalinfrastructure- how to get it right?In recent years, the world has witnessed a significant increase in#cyberthreatstargeting commercial organizations and national infrastructures. With the increased#digitalizationof the#economyand#postalservices, comes an increased risk. These attacks pose serious risks to the integrity, confidentiality, and availability of essential postal services. How do we build harmonized / collaborative protection between sectors, how do we foster#secureand#sustainable#digitizationof posts?The session aims to:- Raise awareness about the escalating cybersecurity threats.- Foster collaboration and information sharing between stakeholders to enhance the overall cybersecurity situation.- Identify best practices, technologies, and policies to strengthen the resilience of postal systems against cyber threats.Moderator:Gertrude KONE KOUASSIé, Chairperson of the Digital Economy and Enterprise Commission of the Côte d'Ivoire General Trade ConfederationSpeakers:Mohamed KAROUIA, CEO, Executive Digital partners, Serge Zongo, Cybersecurity focal point,International Telecommunication Union- Tracy Hackshaw, .POST Business Unit Manager,#UPU,Laïcana COULIBALY, Cybersecurity Expert, IFG Afrique,Rajkumar Velagapudi, Founder & CEO,TAO Digital SolutionsClick here -https://lnkd.in/eJHpnb-sto register for#remoteparticipationand be sure to visithttps://lnkd.in/erxFm99vto learn more about this landmark event.#WeAreDotPOST#DigitalSkills#Afrique#CyberAfrica#Francophonie#TheCommonwealthRichard Labelle|Abdul-Hakeem Ajijola|Titi A.|Alice Munyua|Anne-Rachel I.|Pierre Dandjinou|Adiel A. Akplogan|ICANN|Internet Society|Dawit Bekele|Kevin G. Chege|Yazid AKANHO|Yaovi Atohoun|Iwan de Fluiter|Nii Quaynor|Sally Wentworth|Sally Costerton"",ICT & Digital Economy StrategistICT & Digital Economy Strategist,,,,""['dotPOST', 'Africa', 'Abidjan', 'Posts', 'DigitalTransformation', 'Innovation', 'regulators', 'policymakers', 'technology', 'postalindustry', 'successstories', 'postalsector', 'digitaleconomy', 'eCommerce', 'digitalservices', 'Cybersecurity', 'postalinfrastructure', 'cyberthreats', 'digitalization', 'economy', 'postalservices', 'secure', 'sustainable', 'digitization', 'UPU', 'remoteparticipation', 'WeAreDotPOST', 'DigitalSkills', 'Afrique', 'CyberAfrica', 'Francophonie', 'TheCommonwealth']""";;;;;;;;;;;;;;;;
"Oyeniyi FaleyeOyeniyi Faleye,""Promise kept.To be honest, I was a bit nervous when I announced yesterday I would hit the ground running with a new newsletter and even had the courage to name it Distill Africa. And then wrote the letter would no longer be called The Game Plan.Why feel uncomfortable? I had made similar announcements in the past but for some reason, I never got to execute. My bad. But I had to face my fears. So, I woke up this morning at about 2:24 am and quickly ironed my clothes because I have a meeting later today. Then, I got to work. Thank God, I did it. So,  you are enlisted as my accountability partners.Anyways, regarding this issue, I just took some pages off The Big Deal, """"The CB Insight of Africa"""", that’s my moniker for the company. The Big Deal combs the startup ecosystem in Africa to ferret the minutest deals on the continent. The Big Deal noted that Launch Africa is the most prolific investor in Africa. Well, other tidbits include the GSMA report 2023, Kaspersky’s cybersecurity report and then Chude Jideonwo’s invitation to speak at the Oxford Africa Conference.See you on Friday.#distiilafrica#africa#newafrica#startup#startupafrica#cybersecurity#mobilemoneyinafrica#thebigdeal#launchafrica#chudejideonwo#oxfordafricaconference#oxforduniversity"",Strategy & Marketing Thought LeaderStrategy & Marketing Thought Leader,,,,""['distiilafrica', 'africa', 'newafrica', 'startup', 'startupafrica', 'cybersecurity', 'mobilemoneyinafrica', 'thebigdeal', 'launchafrica', 'chudejideonwo', 'oxfordafricaconference', 'oxforduniversity']""";;;;;;;;;;;;;;;;
"Angela KilimoAngela Kilimo,""CIArb @ 40: International ADR ConferenceDAY 2: A climactic day that began with a CIArb Chairmans Roundtable discussion on the Cohesive Growth of CIArb across Africa, addressing the question of Diversity and Inclusion. Currently, Africa has 3 women as CIArb chairman. It was exciting to learn thatChartered Institute of Arbitrators Kenya Branchhas been involved in the founding of the branches represented on the panel: Nigeria, Zambia and Rwanda with Nigeria now walking with the branches of Sierra Leone, Cameroon, Côte d'Ivoire and Rwanda. These efforts will open up the continent and enable African voices to be heard in the Arbitration space.There were interesting discussions on Quantifying Damages in Arbitration.Mrinal Jainexpounded on assessment of damages to be awarded.Ndanga Kamauemphasised the importance of an Arbitrator understanding the role of damages by assessing the standard and mitigating factors that could reduce the damages. Stephen Finzio addressed the use of bifurcation in assessing damages resulting in the benefit of eliminating costs while also risking elongating the arbitration process.Paul Ngotho HSC, C. Arb, L.L.Mhighlighted challenges in proving damages such as lack of clarity in the prayers and unjustified prayers for interest.The panel on Data Protection & Cyber Security in the Face of Technological Advancement in Arbitration was introduced by a keynote speech by the Data Protection CommissionerImmaculate Kassait, MBSwho highlighted the changes that the Data Protection Act introduced and the challenges that even the ODPC faces with cyber attack risks. There is a need for effective implementation of the legal framework and Arbitrators through their work, contribute to the development of best practices in the Data Protection space.In the afternoon, I attended the Mediation caucus with two panels. The first panel addressed the Regional Analysis of Mediation as a Tool to Drive Competitive Global Business and Access to Justice. The illustrious panelists JusticeFred Ochieng,Lady Justice Joyce Aluochand ProfessorMaria Nzomooutlined the progress of Mediation in Kenya as advanced by the Judiciary and the critical role women have played in international peace efforts such as the landmark Resolution on Women, Peace and Security. The second panel did a practical assessment of mediation advocacy skills.Faith Monydefined the role of advocates in mediation while DrOkubo Yufnalisspelled out the skills a mediator requires for success. They also addressed the shift in the legal profession thanks to mediation and the distinction between Arbitration and Mediation.The Conference closed with a Mega Book Launch of 12 books on ADR by Africans for Africans that was graced by the CIArb Kenya Patron, her LadyshipCJ Martha Koomeand a splendid Gala Dinner and Awards Ceremony. This was an encouragement to pursue my passion fearlessly."",Law Student | ACIArb | Certified MediatorLaw Student | ACIArb | Certified Mediator,,,,[]";;;;;;;;;;;;;;;;
"Cyber Africa Forum (CAF)Cyber Africa Forum (CAF),""[#Englishbelow] L'IA et la cybersécurité seront au cœur du#CAF2024!La quatrième édition du#CAF, qui se tiendra les 15 et 16 avril prochains à Abidjan, en Côte d'Ivoire, abordera les enjeux de l'intelligence artificielle (IA) et de la cybersécurité en Afrique.L'IA est une technologie prometteuse qui a le potentiel de révolutionner de nombreux secteurs, notamment la santé, l'éducation et l'industrie mais qui soulève également de nombreux enjeux. Face à l'évolution rapide et complexe des cyberattaques, qui représentent un coût élevé, il est impératif pour les entreprises et les gouvernements africains de se munir des outils nécessaires pour contrer ces menaces.Le CAF2024 sera donc une plateforme privilégiée pour les acteurs clés des secteurs public et privé, notamment des experts en IA, afin de débattre des stratégies de renforcement de la sécurité informatique en Afrique.Les discussions du forum porteront sur des sujets essentiels, tels que :- Les dernières innovations et tendances en IA et cybersécurité.- Les stratégies éprouvées pour sécuriser les infrastructures informatiques africaines.- L'élaboration de partenariats public-privé robustes, axés sur l'amélioration de la cybersécurité sur le continent.--AI and cybersecurity will be at the heart of#CAF2024!The fourth edition of#CAF, to be held on April 15 and 16 in Abidjan, Côte d'Ivoire, will address the challenges of artificial intelligence (AI) and cybersecurity in Africa.AI is a promising technology with the potential to revolutionize many sectors, including healthcare, education and industry, but it also raises many challenges. In the face of rapidly evolving and complex cyber-attacks, which represent a high cost, it is imperative for African businesses and governments to equip themselves with the necessary tools to counter these threats.#CAF2024will therefore be a privileged platform for key players from the public and private sectors, including AI experts, to discuss strategies for strengthening IT security in Africa.Discussions at the forum will cover key topics such as:- The latest innovations and trends in AI and cybersecurity.- Proven strategies for securing African IT infrastructures.- The development of robust public-private partnerships focused on improving cybersecurity on the continent.#CyberAfricaForum#CAF#Cybersecurity#IAhttps://lnkd.in/ekbYmG9n"",13 908 abonnés13 908 abonnés,,,,""['Englishbelow', 'CAF2024', 'CAF', 'CAF2024', 'CAF', 'CAF2024', 'CyberAfricaForum', 'CAF', 'Cybersecurity', 'IA']""";;;;;;;;;;;;;;;;
"Cyber Africa Forum (CAF)Cyber Africa Forum (CAF),""[#Englisbelow] Comme Ouanilo MEDEGAN FAGLA, Directeur pôle sécurité numérique (Agence des Systèmes d'Information et du Numérique (ASIN) - Bénin), rejoignez notre communauté de leaders influents !« Les jeunes que nous formons, pendant trois ou quatre ans, sont ensuite bien souvent débauchés par l’extérieur, ils partent s’installer au Canada, en France, en Belgique… On ne peut pas enfermer les gens, on le sait, une partie d’entre eux vont partir. Ce qui nous amène à la formation. Il est nécessaire de proposer plus de formations… » Ouanilo MEDEGAN FAGLA, Directeur pôle sécurité numérique de l'Agence des Systèmes d'Information et du Numérique (ASIN) - Bénin.Faisant parti du cercle des 300 décideurs du Cyber Africa Forum(CAF), Ouanilo MEDEGAN FAGLA, Directeur du pôle sécurité numérique à l'Agence des Systèmes d'Information et du Numérique (ASIN) - Bénin, a dans une récente interview accordée à Jeune Afrique, partagé sa vision sur l'importance cruciale de la#cybersécuritéen#Afriqueet a partagé son parcours, de ses débuts en tant que#hackerà son engagement pour former les futurs#talentsdu numérique sur le continent.💡Il revient notamment sur :- Les principaux risques de cyberattaques auxquels sont confrontés les États et les entreprises africaines- Le besoin de formation des talents numériques- Les défis des start-ups en AfriqueDécouvrez ses analyses approfondies sur le potentiel numérique de l'Afrique et la nécessité pour les entreprises d'être transparentes en cas d'attaque, afin de préserver la confiance du public. Et rejoignez notre réseau de leaders influent à la 4e édition du Cyber Africa Forum, les 15 et 16 Avril 2024 à Abidjan en Côte d'Ivoire. Inscrivez-vous dès maintenant via le lien suivant :https://lnkd.in/ekqjWM8dhttps://lnkd.in/e7tCC8Dn---[#EN]""""The young people we train, for three or four years, are then very often poached by outsiders, leaving to settle in Canada, France, Belgium... We can't lock people up, we know that some of them are going to leave. Which brings us to training. We need to offer more training..."""" Ouanilo MEDEGAN FAGLA, Director of Digital Security ASIN - Benin)As one of the 300 decision-makers at the Cyber Africa Forum(CAF), Ouanilo MEDEGAN, Director of Digital Security at the Agence des Systèmes d'Information et du Numérique (ASIN) - Bénin, shared his vision on the crucial importance of#cybersecurityin#Africain a recent interview with Jeune Afrique, and shared his journey, from his beginnings as a#hackerto his commitment to training the continent's future#digitaltalents.In particular, he looks back at:- The main risks of cyberattacks facing African states and businesses- The need to train digital talent- The challenges facing start-ups in AfricaDiscover his in-depth analyses of Africa's digital potential and the need for companies to be transparent in the event of an attack, in order to preserve public trust."",13 908 abonnés13 908 abonnés,,,,""['Englisbelow', 'cybersécurité', 'Afrique', 'hacker', 'talents', 'EN', 'cybersecurity', 'Africa', 'hacker', 'digital']""";;;;;;;;;;;;;;;;
author,content,author_descrition,reactions,comments,comments_number,tags;;;;;;;;;;;;;;;;
"The Record from Recorded Future NewsThe Record from Recorded Future News,""Top suspect in OPERA1ER cybercrime operation arrested in Africa. Here's what you need to know:1. The arrest of a suspected senior member of the OPERA1ER cybercrime gang in Côte d'Ivoire highlights the ongoing efforts to combat cybercriminals operating in Africa, Asia, and Latin America.2. OPERA1ER, also known as Bluebottle and other aliases, was responsible for stealing millions of dollars in over 30 attacks on financial institutions and mobile banking services since 2018.3. This successful operation, named Operation Nervone, involved collaboration between international law enforcement agencies, cybersecurity companies, and government entities, emphasizing the importance of public-private partnerships in tackling sophisticated cyber threat actors.Learn more by visiting The Record from Recorded Future News:https://lnkd.in/e5FwWHEZ"",12 655 abonnés12 655 abonnés,,,,[]";;;;;;;;;;;;;;;;
"Fintech Association Of KenyaFintech Association Of Kenya,""Your one-stop shop for all the latest#newsand trends in#fintechfrom around the world.Published Weekly.Join26,224+ Subscribers💙"",60 998 abonnés60 998 abonnés,,,,""['news', 'fintech']""";;;;;;;;;;;;;;;;
🇸🇬 Hong-Eng Koh (高宏荣)🇸🇬 Hong-Eng Koh (高宏荣),Many people said Huawei is not for the faint-hearted. I am glad I survived eight years. This is my story...,Public Services Digital Transformation Champion. Globetrotter. Storyteller. Foodie.Public Services Digital Transformation Champion. Globetrotter. Storyteller. Foodie.,,,,[];;;;;;;;;;;;;;;;
"Michael WhiteheadMichael Whitehead,""Day two of#EST24in The Hague:International Criminal Court,Organisation for the Prohibition of Chemical Weapons (OPCW),Eurojust, and theMinistry of Foreign Affairs, Bangladesh#internationallaw#genocide#cbrn#chemicalweapons#defence#cyber#strategy#internationalrelations#foreignpolicy#internationalrelations#justice#armscontrol#nonproliferationForeign, Commonwealth and Development OfficeUniversity of Oxford"",Chief of Staff | Special Adviser | Consultant | Lately The Assistant Private Secretary to The former Prince of Wales (now HM The King)Chief of Staff | Special Adviser | Consultant | Lately The Assistant Private Secretary to The former Prince of Wales (now HM The King),,,,""['EST24', 'internationallaw', 'genocide', 'cbrn', 'chemicalweapons', 'defence', 'cyber', 'strategy', 'internationalrelations', 'foreignpolicy', 'internationalrelations', 'justice', 'armscontrol', 'nonproliferation']""";;;;;;;;;;;;;;;;
"Plateforme YARISPlateforme YARIS,""Pour la version Fr voir les commentairesThe increase in cyber security incidents affecting ships and port infrastructures is a significant concern for the maritime industry. The survey conducted by the International Association of Classification Societies (IACS) revealing that nearly 70% of maritime companies have experienced a cyber attack highlights the severity of the issue.Here are some key implications and considerations:1. Vulnerabilities in Operational Technology (OT): Ships and port infrastructures heavily rely on operational technology systems for various critical functions. These systems include navigation, cargo management, communication, and safety systems. Cyber attacks targeting these systems can disrupt operations, compromise safety, and lead to financial losses. Maritime companies must assess and address vulnerabilities in their OT infrastructure to mitigate the risk of cyber attacks.2. Data Breaches and Information Security: Maritime companies handle sensitive information such as cargo manifests, vessel routes, crew details, and customer data. A cyber attack can result in data breaches, leading to the exposure or theft of sensitive information. This can have legal, financial, and reputational consequences for the affected companies. Robust information security measures, including encryption, access controls, and regular data backups, are essential to protect against data breaches.3. Supply Chain Risks: The interconnected nature of the maritime industry poses supply chain risks in terms of cyber security.4. Regulatory Compliance: The maritime industry is subject to various regulatory frameworks and standards related to cyber security. Compliance with the International Maritime Organization (IMO) guideline on maritime cyber risk management is vital to ensure the security and resilience of ships and port infrastructures. 5. Cybersecurity Awareness and Training: Building a strong cyber security culture. Creating awareness about the potential consequences of cyber attacks can help foster a proactive approach towards cyber security.By adopting a comprehensive approach that includes technological safeguards, employee training, and collaboration with industry partners, maritime companies can enhance their resilience against cyber threats and protect critical operations and infrastructure.https://yaris.site/en/YARIS##yaoundearchitecture#maritimedomain#informationsystem#gulfofguinea#gogin#africa#MDA#europeanunion#EU#informationsystem#cybersecurity#dataprivacy#datamanagement#complianve#domainemaritimeCRESMAOCRESMAO EIMSCRESMACINTER-REGIONALDr. Ifesinachi O.Expertise France Côte d'Ivoire (golfe de Guinée)Expertise FranceMaritime Analysis and Operations Centre (Narcotics) - MAOC (N)CECLANT Golfe de GuinéeInstitute for Security StudiesGulf of Guinea Maritime Institute"",1 402 abonnés1 402 abonnés,,,,""['yaoundearchitecture', 'maritimedomain', 'informationsystem', 'gulfofguinea', 'gogin', 'africa', 'MDA', 'europeanunion', 'EU', 'informationsystem', 'cybersecurity', 'dataprivacy', 'datamanagement', 'complianve', 'domainemaritime']""";;;;;;;;;;;;;;;;
"Aboubakri D.Aboubakri D.,""Pour les membres francophones  de mon reseau, une traduction de l'article que j'avais publié  en anglais il y a quelques semaines."",""Principal Coordination Adviser @ United Nations | PhD, International development Policies & Systems thinkingPrincipal Coordination Adviser @ United Nations | PhD, International development Policies & Systems thinking"",,,,[]";;;;;;;;;;;;;;;;
"Fintech Association Of KenyaFintech Association Of Kenya,""Your one-stop shop for all the latest#newsand trends in#fintechfrom around the world.Published Weekly.Join  26,969+ Subscribers💙"",60 998 abonnés60 998 abonnés,,,,""['news', 'fintech']""";;;;;;;;;;;;;;;;
"Bendjedid Rachad SanoussiBendjedid Rachad Sanoussi,Cybersecurity and Internet Governance,""ICT Specialist| Environmental activist| Aspiring Policy Analyst| AgriTech, SDGs Advocate, Youth Engagement, CommunicationsICT Specialist| Environmental activist| Aspiring Policy Analyst| AgriTech, SDGs Advocate, Youth Engagement, Communications"",,,,[]";;;;;;;;;;;;;;;;
"Mohamed KAROUIAMohamed KAROUIA,""We are honoured to be one of the 50 panelists at the first edition of the ‘‘Africa Postal Leaders Forum’’, to be held from 3 to 5 July in Abidjan, Côte d'Ivoire.This first UPU Africa Postal Leaders Forum will bring together postal leaders#leadersfrom nearly 40 African countries as well as politicians, policymakers, regulators, and partners to discuss how to accelerate the#modernizationof Posts in Africa.Development partners, including the West African Development Bank#bank#development, the African Development Bank Group, the World Health Organization (WHO) and members of the UPU Consultative committee will be present.Congratulations toIsaac GNAMBA-YAO, Chairman of the Board of Directors, Universal Postal Union, for making this project a reality.#africaAfrica Posts play a central role in socio-economic development and in giving citizens and businesses greater access to#eCommerce. They are therefore well placed to provide innovative#digitalservices, bridge connectivity gaps and thus contribute to social, digital and financial#inclusion.On Day 2 from 14:30-16:30 local time, the Forum will focus on the topic#Cybersecurity: Securing#postalinfrastructure- how to get it right?In recent years, the world has witnessed a significant increase in#cyberthreatstargeting commercial organizations and national infrastructures. With the increased#digitalizationof the#economyand#postalservices, comes an increased risk. These attacks pose serious risks to the integrity, confidentiality, and availability of essential postal services. How do we build harmonized / collaborative protection between sectors, how do we foster#secureand#sustainable#digitizationof posts?The session aims to:- Raise awareness about the escalating cybersecurity threats.- Foster collaboration and information sharing between stakeholders to enhance the overall cybersecurity situation.- Identify best practices, technologies, and policies to strengthen the resilience of postal systems against cyber threats.Moderator: Gertrude KONE KOUASSIé, Chairperson of the Digital Economy and Enterprise Commission of the Côte d'Ivoire General Trade ConfederationSpeakers: Mohamed KAROUIA, CEO, Executive Digital Partners, Serge Zongo, Cybersecurity focal point, International Telecommunication Union - Tracy Hackshaw, .POST Business Unit Manager,#UPU, Laïcana COULIBALY, Cybersecurity Expert, IFG Afrique, Rajkumar Velagapudi, Founder & CEO, TAO Digital Solutions"",Founder and Managing PartnerFounder and Managing Partner,,,,""['leaders', 'modernization', 'bank', 'development', 'africa', 'eCommerce', 'digital', 'inclusion', 'Cybersecurity', 'postalinfrastructure', 'cyberthreats', 'digitalization', 'economy', 'postalservices', 'secure', 'sustainable', 'digitization', 'UPU']""";;;;;;;;;;;;;;;;
"Cyber Africa Forum (CAF)Cyber Africa Forum (CAF),""🔒 État de la Cybersécurité en Afrique : un appel à l'action“La cybersécurité n'est plus uniquement une question technologique, mais un risque organisationnel qui requiert une approche globale. Il est temps d'agir pour protéger nos entreprises et nos données.”💡 Face à l'essor des menaces cybernétiques sur le continent africain, nous sommes appelés à agir de manière décisive. Les statistiques actuelles révèlent une tendance alarmante, mais notre détermination à promouvoir la cybersécurité peut inverser cette dynamique. Pour notre Commissaire Général,Franck Kié, les principaux points à prendre en considération sont :1- Une inquiétante croissance des attaques : le nombre d'attaques cybernétiques augmente, mettant en lumière la nécessité cruciale d'améliorer nos défenses.2- L’importance de la cybersécurité : il est impératif que la cybersécurité soit au cœur de toutes les politiques pour assurer notre résilience face aux menaces émergentes.3- Une préparation à l'IA : face aux menaces de l'IA, il est crucial que les Etats Africains investissent dans la formation du capital humain, sensibilisent le secteur public et améliore les infrastructures pour rendre l'Afrique plus robuste.Aussi, surmonter ces défis nécessite des investissements financiers, une sensibilisation accrue et une éducation sur la réalité des attaques cybernétiques.🔎 Et vous, qu'en pensez-vous ?Rendez-vous donc les 15 et 16 avril 2024 auSofitel Abidjan Hôtel Ivoire, pour la 4e édition du Cyber Africa Forum (CAF), autour de risques cybernétiques et de l’IA.Choisissez dès maintenant votre pass sur :www.cyberafricaforum.comDécouvrez l’interview complet deCNBC:https://lnkd.in/dwnfj9PnCette quatrième édition du Cyber Africa Forum est organisée parKAYDAN GROUPE- Digital.#CyberAfricaForum#CAF2024#InscriptionOuverte#Cybersécurité#Numérique#IAYenataba Kignaman-SoroHuawei Enterprise Northern AfricaCybastionCAMENKI AFRICA GROUPAPSI-CI (Association des Professionnels de la Sécurité de l'Information de Côte d'Ivoire)Data365.coEcobank Côte d'IvoireColombe Cyber Defense Operations Center SA (CCDOC SA)UBA GroupKaspersky France and North, West & Central AfricaMastercardClub-DSI TunisieClub DSI BéninClub DSI CIOrange Cote d'IvoireDeloitteESETAtosRawbankGuichet Unique du Commerce Extérieur - CI"",13 908 abonnés13 908 abonnés,,,,""['CyberAfricaForum', 'CAF2024', 'InscriptionOuverte', 'Cybersécurité', 'Numérique', 'IA']""";;;;;;;;;;;;;;;;
"Tracy HackshawTracy Hackshaw,""I am extremely pleased and privileged to be speaking, as the#dotPOSTBusiness Unit Manager, at theUniversal Postal Union#AfricaPostal Leaders Forum being held from July 3-5, 2023 in#Abidjan, Côte d’Ivoire with the theme “The African#Posts' journey to#DigitalTransformationand#Innovation”.The forum will bring together postal executives,#regulators,#policymakers&#technologyindustry experts from around Africa to discuss the most pressing challenges and opportunities for the#postalindustry. The forum will also provide a platform for participants to exchange experiences and share their insights and#successstories. Key topics include, inter alia:The role of the#postalsectorin the#digitaleconomy|#eCommerce: the driving force behind digital transformation in the Posts |CONNECT.POSTRoundtables on: infrastructure for#digitalservices& Digital Transformation Enablers |On Day 2 from 1430-1630 local time, the Forum will focus on the topic#Cybersecurity: Securing#postalinfrastructure- how to get it right?In recent years, the world has witnessed a significant increase in#cyberthreatstargeting commercial organizations and national infrastructures. With the increased#digitalizationof the#economyand#postalservices, comes an increased risk. These attacks pose serious risks to the integrity, confidentiality, and availability of essential postal services. How do we build harmonized / collaborative protection between sectors, how do we foster#secureand#sustainable#digitizationof posts?The session aims to:- Raise awareness about the escalating cybersecurity threats.- Foster collaboration and information sharing between stakeholders to enhance the overall cybersecurity situation.- Identify best practices, technologies, and policies to strengthen the resilience of postal systems against cyber threats.Moderator:Gertrude KONE KOUASSIé, Chairperson of the Digital Economy and Enterprise Commission of the Côte d'Ivoire General Trade ConfederationSpeakers:Mohamed KAROUIA, CEO, Executive Digital partners, Serge Zongo, Cybersecurity focal point,International Telecommunication Union- Tracy Hackshaw, .POST Business Unit Manager,#UPU,Laïcana COULIBALY, Cybersecurity Expert, IFG Afrique,Rajkumar Velagapudi, Founder & CEO,TAO Digital SolutionsClick here -https://lnkd.in/eJHpnb-sto register for#remoteparticipationand be sure to visithttps://lnkd.in/erxFm99vto learn more about this landmark event.#WeAreDotPOST#DigitalSkills#Afrique#CyberAfrica#Francophonie#TheCommonwealthRichard Labelle|Abdul-Hakeem Ajijola|Titi A.|Alice Munyua|Anne-Rachel I.|Pierre Dandjinou|Adiel A. Akplogan|ICANN|Internet Society|Dawit Bekele|Kevin G. Chege|Yazid AKANHO|Yaovi Atohoun|Iwan de Fluiter|Nii Quaynor|Sally Wentworth|Sally Costerton"",ICT & Digital Economy StrategistICT & Digital Economy Strategist,,,,""['dotPOST', 'Africa', 'Abidjan', 'Posts', 'DigitalTransformation', 'Innovation', 'regulators', 'policymakers', 'technology', 'postalindustry', 'successstories', 'postalsector', 'digitaleconomy', 'eCommerce', 'digitalservices', 'Cybersecurity', 'postalinfrastructure', 'cyberthreats', 'digitalization', 'economy', 'postalservices', 'secure', 'sustainable', 'digitization', 'UPU', 'remoteparticipation', 'WeAreDotPOST', 'DigitalSkills', 'Afrique', 'CyberAfrica', 'Francophonie', 'TheCommonwealth']""";;;;;;;;;;;;;;;;
"Oyeniyi FaleyeOyeniyi Faleye,""Promise kept.To be honest, I was a bit nervous when I announced yesterday I would hit the ground running with a new newsletter and even had the courage to name it Distill Africa. And then wrote the letter would no longer be called The Game Plan.Why feel uncomfortable? I had made similar announcements in the past but for some reason, I never got to execute. My bad. But I had to face my fears. So, I woke up this morning at about 2:24 am and quickly ironed my clothes because I have a meeting later today. Then, I got to work. Thank God, I did it. So,  you are enlisted as my accountability partners.Anyways, regarding this issue, I just took some pages off The Big Deal, """"The CB Insight of Africa"""", that’s my moniker for the company. The Big Deal combs the startup ecosystem in Africa to ferret the minutest deals on the continent. The Big Deal noted that Launch Africa is the most prolific investor in Africa. Well, other tidbits include the GSMA report 2023, Kaspersky’s cybersecurity report and then Chude Jideonwo’s invitation to speak at the Oxford Africa Conference.See you on Friday.#distiilafrica#africa#newafrica#startup#startupafrica#cybersecurity#mobilemoneyinafrica#thebigdeal#launchafrica#chudejideonwo#oxfordafricaconference#oxforduniversity"",Strategy & Marketing Thought LeaderStrategy & Marketing Thought Leader,,,,""['distiilafrica', 'africa', 'newafrica', 'startup', 'startupafrica', 'cybersecurity', 'mobilemoneyinafrica', 'thebigdeal', 'launchafrica', 'chudejideonwo', 'oxfordafricaconference', 'oxforduniversity']""";;;;;;;;;;;;;;;;
"Angela KilimoAngela Kilimo,""CIArb @ 40: International ADR ConferenceDAY 2: A climactic day that began with a CIArb Chairmans Roundtable discussion on the Cohesive Growth of CIArb across Africa, addressing the question of Diversity and Inclusion. Currently, Africa has 3 women as CIArb chairman. It was exciting to learn thatChartered Institute of Arbitrators Kenya Branchhas been involved in the founding of the branches represented on the panel: Nigeria, Zambia and Rwanda with Nigeria now walking with the branches of Sierra Leone, Cameroon, Côte d'Ivoire and Rwanda. These efforts will open up the continent and enable African voices to be heard in the Arbitration space.There were interesting discussions on Quantifying Damages in Arbitration.Mrinal Jainexpounded on assessment of damages to be awarded.Ndanga Kamauemphasised the importance of an Arbitrator understanding the role of damages by assessing the standard and mitigating factors that could reduce the damages. Stephen Finzio addressed the use of bifurcation in assessing damages resulting in the benefit of eliminating costs while also risking elongating the arbitration process.Paul Ngotho HSC, C. Arb, L.L.Mhighlighted challenges in proving damages such as lack of clarity in the prayers and unjustified prayers for interest.The panel on Data Protection & Cyber Security in the Face of Technological Advancement in Arbitration was introduced by a keynote speech by the Data Protection CommissionerImmaculate Kassait, MBSwho highlighted the changes that the Data Protection Act introduced and the challenges that even the ODPC faces with cyber attack risks. There is a need for effective implementation of the legal framework and Arbitrators through their work, contribute to the development of best practices in the Data Protection space.In the afternoon, I attended the Mediation caucus with two panels. The first panel addressed the Regional Analysis of Mediation as a Tool to Drive Competitive Global Business and Access to Justice. The illustrious panelists JusticeFred Ochieng,Lady Justice Joyce Aluochand ProfessorMaria Nzomooutlined the progress of Mediation in Kenya as advanced by the Judiciary and the critical role women have played in international peace efforts such as the landmark Resolution on Women, Peace and Security. The second panel did a practical assessment of mediation advocacy skills.Faith Monydefined the role of advocates in mediation while DrOkubo Yufnalisspelled out the skills a mediator requires for success. They also addressed the shift in the legal profession thanks to mediation and the distinction between Arbitration and Mediation.The Conference closed with a Mega Book Launch of 12 books on ADR by Africans for Africans that was graced by the CIArb Kenya Patron, her LadyshipCJ Martha Koomeand a splendid Gala Dinner and Awards Ceremony. This was an encouragement to pursue my passion fearlessly."",Law Student | ACIArb | Certified MediatorLaw Student | ACIArb | Certified Mediator,,,,[]";;;;;;;;;;;;;;;;
